date	day	brand	format	link	status	text_summary
02.03.2026	Monday	MAADS	Hot take (light)	figma Liza	Published	DraftKings first US sportsbook to accept BTC deposits — iGaming audience is crypto-native, onchain targeting advantage
03.03.2026	Tuesday	AADS	Market Insight	figma Liza	Published	$81B crypto casino wagering volume 2025, 5x in 3 years — iGaming largest vertical on AADS
03.03.2026	Tuesday	SLISE	Results breakdown	figma Liza	Published	Three things determine CTR: ad placement, wallet state, session context — QuickNode 0.1% to 0.46%
04.03.2026	Wednesday	MAADS	Mistakes & Patterns	figma Liza	Published	iGaming users better prepared for DeFi than DeFi users — funded wallet, deposit habit, fast transactions
05.03.2026	Thursday	MAADS	Case study (numbers-first)	figma Liza	Published	QuickNode 0.46% CTR, Coinsbee 0.58% CTR at $1.15 CPC — two levers: context over reach, precision over assumption
05.03.2026	Thursday	AADS	Market Insight	figma Liza	Published	Most teams pause in bear market, CPM drops — held spend = fraction of bull-market CAC
06.03.2026	Friday	AADS	Market Insight	figma Liza	Published	OpenAI launched ads in ChatGPT at $60 CPM, crypto restricted — every major platform restricts crypto ads
06.03.2026	Friday	SLISE	Problem → DM CTA	figma Liza	Published	60% crypto users run ad blockers — dApp session users are active, QuickNode CTR 0.46%
09.03.2026	Monday	MAADS	Hot take (light)	figma Liza	Published	$150M+ on F1 sponsorships — F1 logos don't come with UTM parameters, AADS+Slise tracked links
10.03.2026	Tuesday	AADS	Mini offer / checklist	figma Liza	Published	1.8B monthly impressions, since 2011, 60M+ daily, no KYC, live in 15 min, min $100
10.03.2026	Tuesday	SLISE	Market Insight	figma Liza	Published	Etherscan 6-10M monthly visits, 9min 51sec avg session — highest-intent users verifying transactions
11.03.2026	Wednesday	MAADS	Hot take (light)	figma Liza	Published	March 18 Fed rate decision — dovish = CPM spikes, hold = bear-market lows, $10K buys more now
12.03.2026	Thursday	MAADS	Case study (numbers-first)	figma Liza	Published	BC.Game billions of impressions through AADS at $0.04-2.40 CPM — 60x range is the model
12.03.2026	Thursday	AADS	Market Insight	figma Liza	Published	Stablecoin $33T in 2025 vs Visa $17T — 60M daily impressions reaching that audience
13.03.2026	Friday	AADS	Problem → DM CTA	figma Liza	Published	No Bitcoin needed to advertise on AADS — Visa/MC, BTC, ETH, USDT, Lightning, 16+ cryptos
14.03.2026	Saturday	SLISE	Hot take (light)	figma Liza	Published	24.3M daily active wallets in dApp ecosystems, 1.4 dApps/month — Slise puts banners inside the tool
16.03.2026	Monday	MAADS	Market Insight	figma Liza	Published	GEO (Generative Engine Optimization) — AI agents deciding what to recommend, ChatGPT checkout with retailers
